"reg_no","title_front","name","surname","title_back","PIN","city"
9673,"JUDr.","Olga","Straková","",66254329,"Èeské Budìjovice"
9696,"Mgr.","Martin","Pixa","",66254701,"Èeské Budìjovice"
9702,"Mgr.","Jan","Úlehla","",66254761,"Èeské Budìjovice"
9808,"JUDr. Ing.","Jan","Kotil","",66255295,"Èeské Budìjovice"
9894,"Mgr.","Stanislav","Bílek","",66256101,"Èeské Budìjovice"
10037,"Mgr.","Petra","Wölflová","",66257140,"Èeské Budìjovice"
10587,"Mgr. Ing.","Martin","Zvìøina","",11350270,"Èeské Budìjovice"
10842,"Mgr.","Tomáš","Èermák","",71333452,"Èeské Budìjovice"
10891,"Mgr.","Dita","Ruiderová","",71458425,"Èeské Budìjovice"
10892,"JUDr.","David","Øezníèek","LL.M.",69537941,"Èeské Budìjovice"
11364,"JUDr.","Milan","Èoudek","",11356677,"Èeské Budìjovice"
11522,"JUDr.","Pøemysl","Kubíèek","",66214769,"Èeské Budìjovice"
11540,"Mgr.","Lucie","Fialová","",71463216,"Èeské Budìjovice"
11558,"Mgr.","Jan","Koptiš","",71464417,"Èeské Budìjovice"
11686,"Mgr.","Lukáš","Kuèera","",71467084,"Èeské Budìjovice"
11710,"Mgr.","Petr","Pokornı","",71465898,"Èeské Budìjovice"
11828,"Mgr.","Tomáš","Rada","",71466088,"Èeské Budìjovice"
11835,"Mgr.","Jana","Smilová","",72133155,"Èeské Budìjovice"
11856,"JUDr.","Stanislav","Vachta","LL.M.",71464735,"Èeské Budìjovice"
11876,"Mgr.","Lucie","Jindrová","",71466177,"Èeské Budìjovice"
11886,"Mgr. Ing.","Jan","Souèek","",71466894,"Èeské Budìjovice"
11940,"Mgr.","Pavel","Koloušek","",71467319,"Èeské Budìjovice"
11969,"Mgr.","Michal","Pavlas","",71469311,"Èeské Budìjovice"
11971,"Mgr.","Pøemysl","Pechlát","",71469478,"Èeské Budìjovice"
12027,"Mgr.","Klára","Èutková","",75979209,"Èeské Budìjovice"
12062,"Mgr.","Jaroslav","Drvota","",71469494,"Èeské Budìjovice"
12063,"Mgr.","Jiøí","Drvota","",71469575,"Èeské Budìjovice"
12087,"Mgr. Ing.","Radovan","Kavka","",63903237,"Èeské Budìjovice"
12181,"Mgr.","Václav","Pechoušek","",71468889,"Èeské Budìjovice"
12192,"Mgr.","Ondøej","Flaška","",72134119,"Èeské Budìjovice"
12293,"Mgr.","Martina","Mièánová","",71471154,"Èeské Budìjovice"
12357,"Mgr.","Petr","Nesporı","",71471642,"Èeské Budìjovice"
12433,"Mgr.","Tomáš","Dvoøák","",71908935,"Èeské Budìjovice"
12487,"Mgr.","Hana","Pechoušková","",71471430,"Èeské Budìjovice"
12525,"Mgr.","Alena","Zábranská","",71470964,"Èeské Budìjovice"
12541,"Mgr.","Denisa","Marková","",71472321,"Èeské Budìjovice"
12720,"Mgr.","Jan","Ludvík","",72013257,"Èeské Budìjovice"
12722,"JUDr.","Milan","Miškovskı","",72013494,"Èeské Budìjovice"
12749,"Mgr.","Filip","Toul","",72015250,"Èeské Budìjovice"
12893,"Mgr.","Ondøej","Pustìjovskı","",71346660,"Èeské Budìjovice"
12963,"Mgr.","Antonín","Menzel","",71347798,"Èeské Budìjovice"
13048,"Mgr.","Jiøí","Píseèka","",71347097,"Èeské Budìjovice"
13062,"JUDr. Ing.","Jana","Šrámková","",60870877,"Èeské Budìjovice"
13149,"Mgr.","Vladimíra","Koláøová","",73765759,"Èeské Budìjovice"
13284,"Mgr.","Klára","Misarová","",71446052,"Èeské Budìjovice"
13381,"Mgr.","Jaroslav","Hanus","",76044211,"Èeské Budìjovice"
13637,"Mgr.","Dušan","Petrlík","",73628247,"Èeské Budìjovice"
13672,"JUDr.","Pavel","Dostál","",73628522,"Èeské Budìjovice"
13716,"Mgr.","Jiøí","Mulaè","",73628867,"Èeské Budìjovice"
13769,"JUDr.","Libuše","Zemanová","",73629308,"Èeské Budìjovice"
13864,"Mgr.","David","Pohoøal","",73630039,"Èeské Budìjovice"
13902,"Mgr.","Lenka","Thonová","",73630349,"Èeské Budìjovice"
14021,"JUDr.","Jan","Schramhauser","Ph.D.",73611379,"Èeské Budìjovice"
14022,"Mgr.","Marie","Balejová Siebrová","",63900921,"Èeské Budìjovice"
14057,"JUDr. Ing.","Daniel","Prouza","Ph.D.",63279894,"Èeské Budìjovice"
14135,"Mgr. Ing.","Alexandra","Kindlová","",73612294,"Èeské Budìjovice"
14163,"Mgr.","Michal","Majchrák","",73612511,"Èeské Budìjovice"
14170,"JUDr.","Simona","Matušková","",73612553,"Èeské Budìjovice"
14179,"JUDr.","Petra","Nouzová","",73612626,"Èeské Budìjovice"
14334,"Mgr.","Kvìta","Pechoušková","",73734403,"Èeské Budìjovice"
14457,"JUDr.","Klára","Radevová","",73735426,"Èeské Budìjovice"
14492,"Mgr.","Václav","Kubièka","",73735647,"Èeské Budìjovice"
14493,"Mgr.","Daniel","Kukla","",73735655,"Èeské Budìjovice"
14522,"Mgr.","Zuzana","Pohoøalová","",21551278,"Èeské Budìjovice"
14549,"Mgr.","Jiøí","Èech","",1163043,"Èeské Budìjovice"
14700,"Mgr.","Tereza","Valentová","",1339516,"Èeské Budìjovice"
14827,"Mgr.","Petr","Valent","",1334531,"Èeské Budìjovice"
